Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
4.608,1.02456,14.19414,-0.00748
4.628,1.03176,14.30102,-0.00709
4.648,1.039,14.40801,-0.00669
4.668,1.0462,14.51585,-0.00626
4.688,1.0534,14.62322,-0.00583
4.708,1.06064,14.72993,-0.00542
4.728,1.06788,14.83696,-0.005
4.748,1.07512,14.94453,-0.0046
4.768,1.08236,15.05348,-0.00417
4.788,1.0896,15.16334,-0.00371
4.808,1.09688,15.27192,-0.00328
4.828,1.1042,15.38082,-0.00287
4.848,1.11148,15.49086,-0.00245
4.868,1.1188,15.59993,-0.00198
4.886,1.12536,15.70005,-0.00162
4.906,1.13268,15.81046,-0.00121
4.926,1.14,15.92069,-0.00076
4.946,1.14736,16.03102,-0.00033
4.966,1.15472,16.14104,0.0001
4.986,1.16208,16.25055,0.0005
5.004,1.16868,16.35119,0.00091
5.022,1.17532,16.45193,0.00132
5.04,1.18192,16.55427,0.00173
5.058,1.18852,16.65556,0.00211
5.076,1.19512,16.75609,0.00253
5.094,1.20172,16.85657,0.00293
5.112,1.20836,16.95793,0.0033
5.13,1.21496,17.06029,0.0037
5.148,1.22156,17.16292,0.00413
5.166,1.2282,17.26552,0.00451
5.184,1.23484,17.36841,0.00489
5.202,1.24144,17.47115,0.00533
5.22,1.24808,17.57364,0.00578
5.238,1.25472,17.67541,0.00618
5.256,1.26132,17.77895,0.00659
5.274,1.26796,17.88314,0.00699
5.292,1.2746,17.98852,0.00739
5.31,1.28124,18.09162,0.0078
5.328,1.28792,18.19485,0.00821
5.346,1.2946,18.29786,0.00863
5.364,1.30124,18.40084,0.00903
5.382,1.30796,18.50516,0.00942
5.4,1.3146,18.61029,0.00981
5.418,1.32124,18.71374,0.01022
5.436,1.32788,18.81705,0.01062
5.454,1.33456,18.91997,0.01099
5.472,1.3412,19.0244,0.0114
5.49,1.34788,19.12897,0.01181
5.508,1.35456,19.23525,0.01218
5.526,1.36124,19.34243,0.01256
5.544,1.36792,19.4493,0.01297
5.562,1.3746,19.55497,0.0134
5.58,1.38132,19.66143,0.01383
5.598,1.388,19.76684,0.01425
5.616,1.39468,19.87363,0.01468
5.634,1.4014,19.98182,0.01509
5.652,1.40808,20.09005,0.01552
5.67,1.41476,20.19815,0.01599
5.688,1.42148,20.30461,0.01644
5.706,1.4282,20.41064,0.01686
5.724,1.43492,20.51777,0.01731
5.742,1.44164,20.6261,0.01779
5.76,1.44832,20.73499,0.01818
5.778,1.45504,20.8435,0.01861
5.796,1.46168,20.95046,0.01904
5.814,1.4684,21.05599,0.01946
5.832,1.47508,21.16083,0.01987
5.85,1.48172,21.26649,0.02027
5.868,1.48844,21.37317,0.0207
5.886,1.49512,21.48077,0.02113
5.904,1.5018,21.58903,0.02155
5.922,1.50852,21.69743,0.02195
5.94,1.5152,21.80545,0.02235
5.958,1.52188,21.91403,0.02276
5.976,1.5286,22.02211,0.02316
5.994,1.53532,22.13199,0.02359
6.012,1.542,22.24304,0.02403
6.03,1.54872,22.35328,0.02442
6.048,1.55544,22.46249,0.0248
6.066,1.56216,22.57258,0.02521
6.084,1.56888,22.68356,0.02564
6.102,1.5756,22.79431,0.0261
6.12,1.58228,22.9057,0.02654
6.138,1.58896,23.01711,0.02701
6.156,1.59568,23.12833,0.02744
6.174,1.60236,23.23816,0.02786
6.192,1.60904,23.34821,0.02829
6.21,1.61572,23.45745,0.02873
6.228,1.62244,23.56783,0.02919
6.246,1.62916,23.67905,0.02964
6.264,1.63584,23.7908,0.03008
6.282,1.64256,23.90213,0.03051
6.3,1.64924,24.01124,0.03093
6.318,1.65592,24.1203,0.03136
6.336,1.6626,24.2297,0.03179
6.354,1.66932,24.34101,0.03222
6.37,1.67528,24.44143,0.03265
6.386,1.68124,24.54174,0.03306
6.402,1.68724,24.64214,0.03348
6.418,1.6932,24.74223,0.03386
6.436,1.69996,24.85416,0.0343
6.452,1.70592,24.95495,0.0347
